"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Units Ordered - B2B","Unit Session Percentage","Unit Session Percentage - B2B","Ordered Product Sales","Ordered Product Sales - B2B","Total Order Items","Total Order Items - B2B"
"B01M2WFCBV","B01M63B6W2","Annabelle Women's Comfy Rayon Solid Color Sleeveless Harem Jumpsuits Charcoal Mid Grey Medium J8004","J8004-MGREY-M","75","1.06%","89","1.04%","100%","6","1","8.00%","1.33%","$89.70","$14.95","6","1"
"B01M2WFCBV","B06Y5NGZ7R","Annabelle Women's Comfy Rayon Solid Color Sleeveless Harem Jumpsuits Dusty Blue Small J8004","J8004-DUSTYBLUE-S","17","0.24%","19","0.22%","95%","10","1","58.82%","5.88%","$99.50","$9.95","10","1"
"B072WK9Q14","B072WJLHLC","Annabelle Women's Fold Over Waist Wide Leg Culotte Gaucho Capri Pants 2X-Large Mid Grey P9023","P9023-MIDGREY-2XL","5","0.07%","5","0.06%","80%","2","1","40.00%","20.00%","$33.90","$16.95","2","1"
"B072WK9Q14","B072WKJM96","Annabelle Women's Fold Over Waist Wide Leg Culotte Gaucho Capri Pants X-Large Black P9023","P9023-BLACK-XL","16","0.23%","20","0.23%","100%","8","1","50.00%","6.25%","$135.60","$16.95","8","1"
"B073JRSR38","B073JR8GP3","Annabelle Women's 3/4 Sleeve Casual Loose Fit Maxi Dresses With Side Pockets Purple Purplish 3X-Large D5212X","D5212X-PURPLISH-3XL","11","0.16%","15","0.18%","73%","1","1","9.09%","9.09%","$24.95","$24.95","1","1"
"B073JRFDZT","B073JS25K3","Annabelle Women's Comfy Short Sleeve Scoop Neck Swing Dresses With Pockets 3X-Large Purple Purplish D5213X","D5213X-PURPLISH-3XL","7","0.10%","8","0.09%","100%","2","1","28.57%","14.29%","$33.90","$16.95","2","1"
"B073JRSR38","B073JS72NJ","Annabelle Women's 3/4 Sleeve Casual Loose Fit Maxi Dresses With Side Pockets 3X-Large Dark Red D5212X","D5212X-DRED-3XL","6","0.08%","8","0.09%","100%","3","1","50.00%","16.67%","$74.85","$24.95","3","1"
"B01M1DFAQS","B074MJ66RW","Annabelle Women's Long Sleeve Floral Prints Comfy Harem Jumpsuit Romper With Pockets X-Large Floral Navy J8043B","J8043B-NAVY-XL","0","0.00%","0","0.00%","0%","1","1","0.00%","0.00%","$22.95","$22.95","1","1"
"B074MJMLXJ","B074MJWMKG","Annabelle 3/4 Sleeve High Low Casual Long Maxi Tunic Tops Hunter Green Large X-Large T1022C","T1022C-HUNTERGREEN-LXL","17","0.24%","21","0.25%","100%","2","1","11.76%","5.88%","$39.90","$19.95","2","1"
"B074MJMLXJ","B074MK837F","Annabelle 3/4 Sleeve High Low Casual Long Maxi Tunic Tops Black Small Medium T1022C","T1022C-BLACK-SM","52","0.74%","73","0.86%","75%","14","1","26.92%","1.92%","$279.30","$19.95","14","1"
