date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,selling fees,fba fees,other transaction fees,other,total
"Jan 1, 2017 7:34:32 PM PST",6257305731,Order,109-1268312-1535422,J8002-BURGUNDY-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Burgundy Large J8002,1,amazon.com,Amazon,Lancaster,TX,75134,22.95,0,0,0,0,-3.44,-4.41,0,0,15.1
"Jan 2, 2017 2:26:01 AM PST",6257305731,Order,113-3786969-8157053,T1072-PINE-L,Women's Long Sleeves Loose Fit Round Neck Cute Solid Shirring Tops Green Pine Large T1072,1,amazon.com,Amazon,SIMPSONVILLE,SC,29681-4968,17.47,0,0,0,0,-2.62,-3.42,0,0,11.43
"Jan 2, 2017 2:35:46 AM PST",6257305731,Order,102-4046763-9177812,J8002-NAVY-M,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Navy Medium J8002,1,amazon.com,Amazon,LINTHICUM HEIGHTS,MD,21090-1003,22.95,0,0,0,0,-3.44,-2.42,0,0,17.09
"Jan 2, 2017 2:35:46 AM PST",6257305731,Order,102-4046763-9177812,J8002-HCHARCOAL-M,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Heather Charcoal Medium J8002,1,amazon.com,Amazon,LINTHICUM HEIGHTS,MD,21090-1003,22.95,0,0,0,0,-3.44,-4.41,0,0,15.1
"Jan 2, 2017 2:50:42 AM PST",6257305731,Order,114-0758187-6847446,P9000-BLACK-S,Annabelle Women's Comfy Harem Jogger Pants Black Small,1,amazon.com,Amazon,ANCHORAGE,AK,99508-5357,17.95,0,0,0,0,-2.69,-3.42,0,0,11.84
"Jan 2, 2017 5:06:09 AM PST",6257305731,Order,116-4824036-2424225,J8004-MGREY-M,Annabelle Women's Comfy Rayon Solid Color Sleeveless Harem Jumpsuits Charcoal Mid Grey Medium J8004,1,amazon.com,Amazon,WINCHESTER,CA,92596,17.47,0,0,0,1.4,-2.62,-3.42,-0.04,0,12.79
"Jan 2, 2017 5:44:16 AM PST",6257305731,Order,111-9925944-2977004,J8002-HCHARCOAL-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Heather Charcoal Large J8002,1,amazon.com,Amazon,Kelso,WA,98626,22.95,0,0,0,0,-3.44,-4.41,0,0,15.1
"Jan 2, 2017 11:22:52 AM PST",6257305731,Order,111-8349054-0871427,J8004-MGREY-L,Annabelle Women's Comfy Rayon Solid Color Sleeveless Harem Jumpsuits Charcoal Mid Grey Large J8004,1,amazon.com,Amazon,Woodside,NY,11377,17.47,0,0,0,0,-2.62,-3.42,0,0,11.43
"Jan 2, 2017 1:22:25 PM PST",6257305731,Order,111-8347593-0961019,J8002-ANTHRA-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Anthra Large 8002,1,amazon.com,Amazon,Cypress,Texas,77429,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 2, 2017 2:05:54 PM PST",6257305731,Order,104-8970340-1275466,J8005-BROWN-S,Annabelle Women's Long Sleeve Comfy Harem Tie Dye Jumpsuit Romper with Pockets Brown Small J8005,1,amazon.com,Amazon,CLEARWATER,FL,33763-1060,24.47,5.48,0,0,0,-3.67,-8.9,0,0,17.38
"Jan 2, 2017 2:18:22 PM PST",6257305731,Order,106-6434669-2375404,J8002-BURGUNDY-S,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Burgundy Small J8002,1,amazon.com,Amazon,Fitchburg,MA,01420-3334,17.95,5.48,0,0,0,-2.69,-9.89,0,0,10.85
"Jan 2, 2017 3:52:04 PM PST",6257305731,Order,102-1720455-2708202,J8002-BLACK-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Large J8002,1,amazon.com,Amazon,Miami,fl,33179,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 2, 2017 4:41:33 PM PST",6257305731,Order,103-1141974-4702619,J8002-BLACK-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Large J8002,1,amazon.com,Amazon,PFLUGERVILLE,TX,78660-7699,22.95,2.16,0,0,0,-3.44,-5.58,0,0,16.09
"Jan 2, 2017 8:35:46 PM PST",6257305731,Refund,108-5330994-7601033,J8002-NAVY-S,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Navy Small J8002,1,amazon.com,Amazon,FT WAINWRIGHT,AK,99703,-17.95,0,0,0,0,2.15,0,0,0,-15.8
"Jan 2, 2017 9:07:39 PM PST",6257305731,FBA Customer Return Fee,112-2424201-0645044,,FBA Customer Return Per Order Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1,0,0,-1
"Jan 2, 2017 9:07:39 PM PST",6257305731,FBA Customer Return Fee,112-2424201-0645044,,FBA Customer Return Per Unit Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1.46,0,0,-1.46
"Jan 2, 2017 9:07:39 PM PST",6257305731,FBA Customer Return Fee,112-2424201-0645044,,FBA Customer Return Weight Based Fee,,Amazon.com,,,,,0,0,0,0,0,0,-0.96,0,0,-0.96
"Jan 2, 2017 9:28:15 PM PST",6257305731,Order,002-5791459-7062654,T1038-BLUSH-M,Annabelle Women's Open Front Draped Vest Knit Cardigan with Side Pockets Blush Medium,1,amazon.com,Amazon,mesa,az,85213,24.47,0,0,0,0,-3.67,-3.42,0,0,17.38
"Jan 2, 2017 11:29:18 PM PST",6257305731,Order,103-1198791-2633029,J8005-BROWN-L,Annabelle Women's Long Sleeve Comfy Harem Tie Dye Jumpsuit Romper with Pockets Brown Large J8005,1,amazon.com,Amazon,BOWIE,MARYLAND,20721-4027,24.47,0,0,0,0,-3.67,-3.42,0,0,17.38
"Jan 3, 2017 12:05:48 AM PST",6257305731,Order,105-2148416-7604237,J8002-BLACK-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Large J8002,1,amazon.com,Amazon,HUDSON,FL,34669-2961,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 3, 2017 1:08:33 AM PST",6257305731,Order,110-5643844-1886611,J8002-BLACK-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Large J8002,1,amazon.com,Amazon,BAKERSFIELD,CA,93309-2340,22.95,0,0,0,1.66,-3.44,-3.42,-0.05,0,17.7
"Jan 3, 2017 2:25:47 AM PST",6257305731,Order,109-1193499-8461859,J8002-BLACK-S,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Small J8002,1,amazon.com,Amazon,MINNETONKA,MN,55345-3509,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 3, 2017 2:29:47 AM PST",6257305731,Order,105-3019701-4506621,J8005-BROWN-L,Annabelle Women's Long Sleeve Comfy Harem Tie Dye Jumpsuit Romper with Pockets Brown Large J8005,1,amazon.com,Amazon,LAS VEGAS,NV,89120-3704,24.47,0,0,0,0,-3.67,-3.42,0,0,17.38
"Jan 3, 2017 4:39:54 AM PST",6257305731,Order,112-2205172-8423425,J8005-BROWN-L,Annabelle Women's Long Sleeve Comfy Harem Tie Dye Jumpsuit Romper with Pockets Brown Large J8005,1,amazon.com,Amazon,LOS ANGELES,CA,90056-1508,24.47,0,0,0,2.14,-3.67,-3.42,-0.06,0,19.46
"Jan 3, 2017 7:48:54 AM PST",6257305731,Order,116-0955734-3717812,J8002-JAVA-S,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Java Small J8002,1,amazon.com,Amazon,MIAMI,FL,33192-9027,17.95,0,0,0,0,-2.69,-4.41,0,0,10.85
"Jan 3, 2017 8:15:02 AM PST",6257305731,Refund,103-1141974-4702619,J8002-BLACK-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Large J8002,1,amazon.com,Amazon,PFLUGERVILLE,TX,78660-7699,0,0,0,0,0,0,0,0,-4,-4
"Jan 3, 2017 8:33:29 AM PST",6257305731,Order,112-0952682-7925058,T1031-AZUKI-S,Women's Long Sleeve Oversized Romantic Shirring Blouse Tops Plum Azuki Small T1031,1,amazon.com,Amazon,BISHOP,GA,30621-2004,27.97,0,0,0,0,-4.2,-4.41,0,0,19.36
"Jan 3, 2017 10:02:42 AM PST",6257305731,Order,115-8212158-2716225,J8004-MGREY-S,Annabelle Women's Comfy Rayon Solid Color Sleeveless Harem Jumpsuits Charcoal Mid Grey Small J8004,1,amazon.com,Amazon,BROOKLYN,NY,11213-2163,17.47,0,0,0,0,-2.62,-3.42,0,0,11.43
"Jan 3, 2017 12:47:34 PM PST",6257305731,Order,116-0325036-0794644,J8002-BURGUNDY-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Burgundy Large J8002,1,amazon.com,Amazon,EXETER,NH,03833-4389,22.95,0,0,0,0,-3.44,-4.41,0,0,15.1
"Jan 3, 2017 12:50:27 PM PST",6257305731,Order,002-1846698-1309809,J8002-ANTHRA-S,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Anthra Small 8002,1,amazon.com,Amazon,CINCINNATI,OH,45248-4252,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 3, 2017 1:45:52 PM PST",6257305731,Order,111-8206264-5476200,J8002-HCHARCOAL-M,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Heather Charcoal Medium J8002,1,amazon.com,Amazon,Mount Angel,OR,97362,22.95,0,0,0,0,-3.44,-4.41,0,0,15.1
