SKU,COLOR,COST
D_5045,BLACK,8.3
D_5045,LATTE,8.3
D_5045,PINE,8.3
D_5045,RUST,8.3
D_5082,BLACK,15
D_5082,BRICK,15
D_5088,BLACK,10.5
D_5088,HUNTERGREEN,10.5
D_5088,VIOLET,10.5
D5004,BLACK,7.95
D5004,BLUEGREY,7.95
D5004,DENIMBLUE,7.95
D5004,FALLRUST,7.95
D5005,AUBURN,8.3
D5005,BLACK,8.3
D5005,BLUEGREY,8.3
D5005,DENIMBLUE,8.3
D5006,BLACK,7.2
D5006,DARKBURGUNDY,7.2
D5006,ESTATEBLUE,7.2
D5006,MIDGREY,7.2
D5006,MILITARY,7.2
D5007,BLACK,9.5
D5007,ESTATEBLUE,9.5
D5007,MID GREY,9.5
D5007,MIDGREY,9.5
D5007,MILITARY,9.5
D5007,WINE,9.5
D5011,BLACKIVORY,14.5
D5011,NAVYIVORY,14.5
D5012,BLACK,12.75
D5012,NAVY,12.75
D5012,TOMATORED,12.75
D5013,CORAL,16.5
D5013,NAVY,16.5
D5014,BLACK,8.5
D5014,HCHARCOAL,8.5
D5014,MAUVE,8.5
D5015,DCOCOA,8.25
D5015,HGREY,8.25
D5015,MAUVE,8.25
D5016,AUBURN,8.5
D5016,BLUEGREY,8.5
D5016,LATTE,8.5
D5024,BLACK,8.8
D5024,BURGUNDY,8.8
D5024,DARKOLIVE,8.8
D5028,BLACKOFFWHITE,9.5
D5028,HCHARCOFF,9.5
D5029,BLACKOFFWHITE,11.5
D5029,HCHARCOFF,11.5
D5032,BLACK,8.2
D5032,INDIGO,8.2
D5032,NEWOLIVE,8.2
D5032,ROSEDARK,8.2
D5033,BURGUNDY,8.95
D5033,PHANTOM,8.95
D5033,TEAL,8.95
D5034,BLACK,8.25
D5034,FALLRUBY,8.25
D5034,OLIVE,8.25
D5034,TAN,8.25
D5037,BLACK,9.1
D5037,LATTE,9.1
D5037,PINE,9.1
D5037,RUST,9.1
D5038,BLACK,9.4
D5038,LATTE,9.4
D5038,PINE,9.4
D5038,RUST,9.4
D5040,INDIGO,8.9
D5040,MIDGREY,8.9
D5040,NEWOLIVE,8.9
D5041,BLACK,10.1
D5041,BURGUNDY,10.1
D5041,MOCHA,10.1
D5048,OLIVE,9.5
